conv_4,fc_4,conv_12,fc_12,conv_36,fc_36,conv_48,fc_48,conv_64,fc_64,conv_96,fc_96,conv_124,fc_124,conv_148,fc_148
1921,30,4748,44,9626,64,18266,64,17120,68,18748,84,26850,86,26472,87
1918,30,4761,44,9603,64,17620,64,16553,68,19417,84,22689,86,24668,87
1883,30,4659,44,10320,64,18075,64,18315,68,17886,84,20153,86,28293,87
1802,30,5017,44,10167,64,17286,64,18654,68,16029,84,27775,86,28617,87
1916,30,4383,44,9537,64,16717,64,16232,68,16568,84,25179,86,30583,87
1736,30,4572,44,10560,64,16272,64,17041,68,17114,84,24216,86,26833,87
1804,30,4871,44,9483,64,16962,64,19017,68,19178,84,25710,86,23625,87
1896,30,4788,44,9748,64,18052,64,17363,68,19504,84,25240,86,29584,87
1941,30,4518,44,9532,64,17571,64,17142,68,18289,84,26553,86,28696,87
1706,30,4944,44,9186,64,19424,64,16693,68,19034,84,22935,86,29162,87
1773,30,4797,44,10205,64,17015,64,15169,68,18903,84,20182,86,30852,87
1688,30,4565,44,9762,64,17132,64,18039,68,17250,84,24636,86,30640,87
1873,30,4970,44,8632,64,18111,64,17562,68,21214,84,27448,86,30066,87
1884,30,5027,44,9972,64,17794,64,16679,68,18199,84,24192,86,30916,87
1747,30,4306,44,10349,64,19555,64,17122,68,20297,84,21092,86,30157,87
1819,30,4856,44,9877,64,18295,64,16340,68,18418,84,25005,86,28333,87
1751,30,4836,44,10163,64,18721,64,17207,68,16943,84,22517,86,30772,87
1686,30,4270,44,9816,64,18511,64,18986,68,21752,84,20756,86,27900,87
1868,30,4634,44,10322,64,18189,64,17402,68,19331,84,25175,86,32561,87
1705,30,4580,44,9810,64,18450,64,17617,68,19527,84,24951,86,27796,87
1818,30,4877,44,9590,64,20035,64,16580,68,17145,84,19675,86,29023,87
1736,30,4749,44,10573,64,18299,64,17746,68,16566,84,24667,86,28263,87
