h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.5303671375266524,0.5204020700636943,46.96,47.95
15,0.2671908315565032,0.256468949044586,73.27666666666667,74.38
30,0.1884828091684435,0.18222531847133758,81.14666666666666,81.87
45,0.1594149786780384,0.15634952229299362,84.05333333333333,84.41
50,0.1691264658848614,0.1630175159235669,83.08,83.8
5,0.5626832356076759,0.5672770700636943,43.72833333333333,43.3
45,[0.09601545842217483],[0.09673566878980892],[90.395],[90.31]
45,0.10092950426439233,0.10092950426439233,89.90333333333334,89.90333333333334
