h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,1.6834804005920887,1.1945439144304604,39.15,58.92
15,1.0289774117991328,0.4853923869835343,68.475,85.57
30,0.8815134819597006,0.42799498510968154,73.825,86.91
45,0.7677914993837476,0.40729371631506145,77.975,88.09
50,0.720710695721209,0.37560522253773393,78.25,88.93
5,1.9706208780407906,1.7064532712101936,28.2,37.7
45,0.006051859447325114,0.286373452283442,100.0,92.4
45,0.004286029514332768,0.27764292201027274,100.0,93.0
45,0.8173117814585567,0.560723815113306,74.75,83.9
45,0.8160070925951004,0.4545358354225755,74.925,85.8
