h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.423790644989339,0.4322253184713376,57.615,56.75
15,0.17249133795309168,0.16709792993630573,82.74333333333334,83.33
30,0.13750999466950958,0.13684315286624205,86.24333333333334,86.37
45,0.12288446162046908,0.11813296178343949,87.70666666666666,88.25
50,0.12400053304904052,0.11813296178343949,87.595,88.22
5,0.5541211353944563,0.5595143312101911,44.583333333333336,44.11
45,[0.0867370735607676],[0.08509156050955415],[91.325],[91.45]
45,0.09195095948827292,0.09434713375796179,90.80166666666666,90.58
45,0.12683235607675905,0.12519904458598727,87.31,87.54
45,0.12866471215351813,0.12360668789808917,87.12833333333333,87.67
